Loaded file for Distance with 1 dimensions and 674 records averaging 3114.81
Loaded file for Weight with 1 dimensions and 266 records averaging 199.4
Frames merged
Values sorted
           Date  Weight   Distance
574  2018-04-23     NaN      0.000
575  2018-04-22     NaN      0.000
164  2018-04-21   194.0      0.000
165  2018-04-20   195.3      0.000
166  2018-04-19   195.7      0.000
576  2018-04-18     NaN      0.000
577  2018-04-17     NaN      0.000
167  2018-04-16   195.7      0.000
168  2018-04-15   195.3      0.000
169  2018-04-14   195.0      0.000
170  2018-04-13   196.7      0.000
171  2018-04-12   197.6      0.000
172  2018-04-11   198.7      0.000
173  2018-04-10   199.6      0.000
578  2018-04-09     NaN      0.000
579  2018-04-08     NaN      0.000
580  2018-04-07     NaN      0.000
174  2018-04-06   201.4      0.000
581  2018-04-05     NaN      0.000
175  2018-04-04   199.9      0.000
178  2018-04-03   205.6      0.000
176  2018-04-03   201.7      0.000
177  2018-04-03   204.2      0.000
179  2018-04-02   202.3      0.000
582  2018-04-01     NaN      0.000
583  2018-03-31     NaN      0.000
180  2018-03-30   199.7      0.000
181  2018-03-29   202.0      0.000
182  2018-03-28   206.6      0.000
183  2018-03-27   202.3      0.000
184  2018-03-26   202.5      0.000
584  2018-03-25     NaN      0.000
585  2018-03-24     NaN      0.000
185  2018-03-23   202.3      0.000
186  2018-03-22   208.5      0.000
187  2018-03-21   205.4      0.000
188  2018-03-20   205.6      0.000
189  2018-03-19   207.4      0.000
586  2018-03-18     NaN      0.000
587  2018-03-17     NaN      0.000
588  2018-03-16     NaN      0.000
589  2018-03-15     NaN      0.000
590  2018-03-14     NaN      0.000
591  2018-03-13     NaN      0.000
190  2018-03-12   204.8      0.000
592  2018-03-11     NaN      0.000
593  2018-03-10     NaN      0.000
594  2018-03-09     NaN      0.000
595  2018-03-08     NaN      0.000
596  2018-03-07     NaN      0.000
597  2018-03-06     NaN      0.000
191  2018-03-05   207.1      0.000
598  2018-03-04     NaN      0.000
599  2018-03-03     NaN      0.000
600  2018-03-02     NaN      0.000
601  2018-03-01     NaN      0.000
602  2018-02-28     NaN      0.000
603  2018-02-27     NaN      0.000
192  2018-02-26   210.3      0.000
604  2018-02-25     NaN      0.000
605  2018-02-24     NaN      0.000
606  2018-02-23     NaN      0.000
607  2018-02-22     NaN      0.000
608  2018-02-21     NaN      0.000
609  2018-02-20     NaN      0.000
193  2018-02-19   207.1      0.000
610  2018-02-18     NaN      0.000
611  2018-02-17     NaN      0.000
612  2018-02-16     NaN      0.000
613  2018-02-15     NaN      0.000
614  2018-02-14     NaN   8185.561
615  2018-02-13     NaN   9957.546
194  2018-02-12   210.1   7866.282
616  2018-02-11     NaN   4019.460
617  2018-02-10     NaN   6841.569
618  2018-02-09     NaN   5181.250
619  2018-02-08     NaN   9569.286
620  2018-02-07     NaN   7481.809
621  2018-02-06     NaN   5710.401
195  2018-02-05   210.2   7391.040
622  2018-02-04     NaN   9213.097
623  2018-02-03     NaN   3562.590
624  2018-02-02     NaN   5833.411
625  2018-02-01     NaN    588.500
626  2018-01-31     NaN  10065.111
627  2018-01-30     NaN   9459.629
196  2018-01-29   211.7    261.880
628  2018-01-28     NaN      0.000
629  2018-01-27     NaN      0.000
630  2018-01-26     NaN      0.000
631  2018-01-25     NaN      0.000
632  2018-01-24     NaN      9.690
633  2018-01-23     NaN   8231.898
197  2018-01-22   214.2   8834.835
634  2018-01-21     NaN   4661.230
635  2018-01-20     NaN   8446.181
636  2018-01-19     NaN   9355.643
637  2018-01-18     NaN   8707.670
638  2018-01-17     NaN  10499.779
198  2018-01-16   211.3   9873.516
639  2018-01-15     NaN   5527.489
640  2018-01-14     NaN   6554.710
641  2018-01-13     NaN   8123.332
642  2018-01-12     NaN    375.060
643  2018-01-11     NaN      0.000
644  2018-01-10     NaN      0.000
645  2018-01-09     NaN      0.000
646  2018-01-08     NaN      0.000
647  2018-01-07     NaN      0.000
648  2018-01-06     NaN      0.000
649  2018-01-05     NaN    622.190
650  2018-01-04     NaN   9689.926
651  2018-01-03     NaN  10301.446
652  2018-01-02     NaN  16063.073
